height_cm,weight_kg,age,hometown,sport,classification,program
190.5,,39,"Lake Stevens, WA",Sitting Volleyball,,Paralympian
175.3,,22,"Medford, NJ",Soccer,,Olympian
167.6,,27,"San Diego, CA",Soccer,,Paralympian
162.6,,40,"Boulder, CO",Cycling,,Olympian
182.9,,27,"Austin, TX",Swimming,,Team USA
190.5,,40,"Salinas, CA",Softball,,Olympian
175.3,,42,"Houston, TX",Taekwondo,,Olympian
188.0,,39,"Muskegon, MI",Ice Hockey,,Olympian
180.3,,49,"Tucson, AZ",Track and Field,,Olympian
182.9,,38,"Powhatan, VA",Bobsled,,Olympian
165.1,,38,Fallbrook,Artistic Swimming,,Olympian
177.8,,26,"Slate Hill, NY",Ice Hockey,,Olympian
188.0,,26,"Plymouth Meeting, PA",Swimming,,Team USA
182.9,,32,"Clifton Park, NY",Speedskating,,Team USA
167.6,,22,"Lake Wylie, SC",Taekwondo,,Team USA
182.9,,40,"Reidsville, NC",Bobsled,,Team USA
188.0,,35,"Cincinnati, OH",Volleyball,,Olympian
172.7,,26,"Hoschton, GA",Softball,,Team USA
172.7,,34,"Cypress, TX",Swimming,,Olympian
205.7,,28,"Newark, NJ",Basketball,,Olympian
175.3,,30,"Sun Valley, ID",Para Nordic Skiing,,Paralympian
162.6,,39,"Evanston, IL",Bobsled,,Olympian
188.0,,32,"Idalou, TX",Track and Field,,Olympian
180.3,,44,"Lynn Haven, FL",Waterski/Wakeboard,,Team USA
198.1,,37,"Bremerton, WA",Swimming,,Olympian
172.7,,36,Potomac,Soccer,,Olympian
182.9,,34,"Morristown, NJ",Ice Hockey,,Olympian
177.8,,44,Chicago,,,Olympian
170.2,,30,"Orangevale, CA",Softball,,Olympian
185.4,,38,Mammoth,,,Olympian
170.2,,,"Honolulu, HI",Volleyball,,Olympian
188.0,,42,Pulaski,Soccer 7-A-Side,,Paralympian
160.0,,27,"San Diego, CA",Gymnastics,,Olympian
190.5,,,"Tulsa, Oklahoma",,,Team USA
170.2,,36,San Jose,,,Olympian
165.1,,17,"Walnut Creek, CA",Artistic Swimming,,Team USA
182.9,,49,Fort Wayne,Volleyball,,Team USA
162.6,,31,"Aurora, IL",Track and Field,,Olympian
190.5,,38,"Fort Lauderdale, FL",Volleyball,,Olympian
160.0,,,"Honolulu, Hawaii",,,Olympian
182.9,,36,"Matawan, NJ",Fencing,,Olympian
188.0,,26,"Tulsa, OK",Rugby,,Olympian
170.2,,18,"Houston, TX",Taekwondo,,Team USA
160.0,,17,"Houston, TX",,,Team USA
193.0,,28,"Bethesda, MD",Basketball,,Team USA
152.4,,37,"Denver, CO",Para Snowboarding,,Paralympian
170.2,,22,"Grayslake, IL",Soccer,,Olympian
167.6,,40,Escondido,Field Hockey,,Team USA
185.4,,44,North Tonowanda,,,Team USA
167.6,,30,"Monterey, CA",Softball,,Team USA
185.4,,48,Dallas,,,Olympian
177.8,,38,Schuyler,,,Paralympian
177.8,,26,"Levittown, NY",Taekwondo,,Team USA
193.0,,27,"Charlotte, N.C.",Basketball,,Team USA
188.0,,43,La Jolla,,,Team USA
157.5,,26,"Denton, TX",Karate,,Team USA
182.9,,27,"Lake St. Louis, MO",Swimming,,Team USA
203.2,,23,"Morristown, NJ",Swimming,,Olympian
152.4,,19,"La Puente, CA",Taekwondo,,Team USA
193.0,,,"Glenarden, MD",,,Olympian
167.6,,37,"Philadelphia, PA",Track and Field,,Olympian
167.6,,26,"Hesperia, CA",Softball,,Team USA
167.6,,,"Fountain Valley, CA",Softball,,Team USA
188.0,,31,"Pullman, WA",Track and Field,,Olympian
188.0,,44,"Fallbrook, CA",Volleyball,,Team USA
172.7,,27,"San Diego, CA",Baseball,,Olympian
182.9,,31,"Phoenix, AZ",Track and Field,,Olympian
154.9,,44,"Katy, TX",Para Shooting,,Paralympian
188.0,,32,"Hialeah, FL",Baseball,,Team USA
185.4,,36,Boca Raton,,,Olympian
167.6,,43,"Miami, FL",Baseball,,Team USA
167.6,,23,"Greenwich, CT",,,Team USA
172.7,,29,"Buffalo, NY",Artistic Swimming,,Olympian
167.6,,25,"Andover, MA",Artistic Swimming,,Team USA
195.6,,34,"Edmond, OK",Sitting Volleyball,,Paralympian
172.7,,49,Overland Park,Softball,,Olympian
193.0,,24,Kakanj,Team Handball,,Team USA
182.9,,24,"Denver, CO",Cycling,,Olympian
185.4,,,"Laie, Hawaii",,,Team USA
172.7,,30,"Vista, CA",Track and Field,,Olympian
180.3,,29,Copenhagen,Team Handball,,Team USA
170.2,,31,"Broomall, PA",Curling,,Team USA
172.7,,,,,,Team USA
198.1,,37,"Bountiful, UT",Archery,,Team USA
177.8,,34,"Granite Bay, CA",Swimming,,Olympian
157.5,,23,"O'Fallon, MO",Para Swimming,,Team USA
157.5,,35,"South Lake Tahoe, CA",Snowboarding,,Olympian
177.8,,48,"Salt Lake City, UT",Skeleton,,Olympian
162.6,,40,Payson,,,Olympian
208.3,,39,"West Seneca, NY",Volleyball,,Olympian
170.2,,27,"Norco, CA",Track and Field,,Olympian
180.3,,32,"San Clemente, CA",Surfing,,Olympian
198.1,,27,"Encinitas, CA",Swimming,,Olympian
172.7,,35,Absecon,,,Olympian
177.8,,35,"Manalapan Township, NJ",Track and Field,,Olympian
180.3,,30,"Boulder, CO",Freestyle Skiing,,Olympian
170.2,,24,"Johns Creek, GA",Fencing,,Team USA
182.9,,25,"Maple Grove, MN",,,Olympian
167.6,,29,"Kansas City, Mo.",Track and Field,,Team USA
203.2,,41,"New York, NY",Basketball,,Olympian
177.8,,35,"Lexington, NE",Shooting,,Team USA
154.9,,34,Huntington Beach,Wrestling,,Team USA
190.5,,41,"Prairie du Chien, WI",Skeleton,,Olympian
167.6,,30,"Spokane, WA",Para Track and Field,,Team USA
157.5,,35,"Minneapolis, MN",Wheelchair Rugby,,Paralympian
200.7,,29,"Trenton, OH",Swimming,,Olympian
175.3,,40,"San Clemente, Calif.",Surfing,,Team USA
165.1,,25,Universal City,Boxing,,Team USA
182.9,,36,"Valparaiso, IN",Wheelchair Basketball,,Paralympian
142.2,,16,"Montgomery Village, MD",,,Team USA
160.0,,29,"Boise, ID",Para Nordic Skiing;Para Track and Field,,Paralympian
172.7,,37,"Milford, CT",Ice Hockey,,Olympian
165.1,,27,"Naples, Fla.",Tennis,,Team USA
